track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,tiktok
If the World Was Ending (feat. Julia Michaels),JP Saxe,66,If the World Was Ending (feat. Julia Michaels),78,0.464,0.473,-10.086,1,1,0.129,0.866,0,0.109,0.604,75.801,4,208687,1
Tequila,The Champs,48,Go Champ Go,0,0.6,0.528,-16.601,1,10,0.0385,0.752,0.684,0.0493,0.971,174.095,4,135027,1
Say So,Doja Cat,88,Hot Pink,80,0.787,0.673,-4.583,0,11,0.159,0.264,0.00000335,0.0904,0.779,110.962,4,237893,1
Get Up (feat. Chamillionaire),Ciara,68,Step Up Soundtrack,52,0.941,0.631,-5.998,0,1,0.114,0.0366,0.0000018,0.0311,0.63,128.597,4,263373,1
Not What I Meant (feat. Lewis Watson),dodie,61,Human,45,0.482,0.273,-13.396,1,0,0.043,0.792,0.00223,0.109,0.142,118.952,4,143290,1
The Weekend - Funk Wav Remix,SZA,82,The Weekend (Funk Wav Remix),73,0.775,0.573,-4.933,1,11,0.0585,0.495,0,0.126,0.667,101.925,4,171806,1
A Thousand Years,Christina Perri,70,A Thousand Years,80,0.421,0.407,-7.445,1,10,0.0267,0.309,0.000961,0.11,0.161,139.028,3,285120,1
Mr. Saxobeat - Radio Edit,Alexandra Stan,61,Sundown (Original Motion Picture Soundtrack),0,0.72,0.925,-4.165,0,4,0.0511,0.0276,0.000238,0.14,0.781,127.004,4,195105,1
We R Who We R,Kesha,76,Cannibal (Expanded Edition),72,0.736,0.817,-4.9,1,8,0.0407,0.00987,0.00167,0.117,0.653,119.95,4,204760,1
Crank That (Soulja Boy),Soulja Boy,69,souljaboytellem.com,74,0.736,0.74,-2.18,1,0,0.0786,0.515,0,0.0468,0.803,140.141,4,221933,1
No More ?'s,Eazy-E,64,Eazy-Duz-It,69,0.935,0.805,-4.782,1,7,0.225,0.0143,0.00000153,0.298,0.624,105.641,4,234360,1
Y U Gotta B Like That,Audrey Mika,56,Y U Gotta B Like That,58,0.732,0.413,-6.353,1,9,0.0702,0.287,0,0.0565,0.761,92.066,4,154456,1
Kill the Director,The Wombats,65,"Proudly Present... A Guide to Love, Loss & Desperation",64,0.41,0.858,-5.295,0,1,0.0485,0.00347,0,0.0897,0.962,161.487,4,161560,1
Ligma,Billy Marchiafava,53,Ligma,49,0.937,0.397,-9.414,1,8,0.418,0.0915,0,0.0919,0.603,128.561,4,75717,1
Airplane Mode,Limbo,50,Holo,0,0.665,0.373,-10.631,1,7,0.158,0.852,0.118,0.108,0.07,119.905,4,164113,1
It's You,Ali Gatie,70,It's You,5,0.732,0.463,-6.972,0,11,0.0287,0.374,0,0.194,0.397,95.971,4,212607,1
Baby Yoda,Song a Day,25,Baby Yoda,38,0.822,0.408,-16.616,1,2,0.206,0.373,0.0685,0.118,0.848,160.074,4,87000,1
"Monsters, Inc.",Randy Newman,60,"Monsters, Inc. (Original Motion Picture Soundtrack)",55,0.68,0.465,-8.353,1,8,0.029,0.743,0.676,0.136,0.847,109.972,4,126387,1
hot girl bummer,blackbear,79,hot girl bummer,5,0.778,0.559,-7.109,0,6,0.0776,0.128,0,0.399,0.678,129.989,1,185093,1
Get Down,SIX,61,Six: The Musical (Studio Cast Recording),61,0.898,0.406,-9.905,0,4,0.102,0.00986,0,0.0509,0.39,102.985,4,253993,1
Falling,Trevor Daniel,65,Nicotine,3,0.784,0.43,-8.756,0,10,0.0364,0.123,0,0.0887,0.236,127.087,4,159382,1
successful,Ariana Grande,87,Sweetener,65,0.847,0.603,-4.607,0,0,0.0397,0.107,0.0000074,0.106,0.735,114.045,4,227387,1
Chucky Cheese,MadeinTYO,62,"Sincerely, Tokyo",55,0.89,0.542,-4.826,0,10,0.314,0.523,0,0.123,0.565,78.458,4,165293,1
Sin City,Chrishan,42,Sin City,58,0.886,0.225,-11.437,1,4,0.457,0.676,0,0.0938,0.387,120.1,4,212000,1
MICKEY,Lil Yachty,75,Lil Boat 2,54,0.971,0.465,-5.655,1,1,0.23,0.0295,0,0.097,0.131,119.994,4,160518,1
Another Day Of Sun,La La Land Cast,46,La La Land (Original Motion Picture Soundtrack),64,0.588,0.742,-6.757,1,8,0.0528,0.0162,0.00000398,0.653,0.824,125.819,4,228173,1
Forget Me Thots,Yung Gravy,75,Yung Gravity - EP,58,0.887,0.737,-6.489,0,6,0.16,0.243,0.0000411,0.109,0.685,104.924,4,184000,1
Act Up,City Girls,67,Girl Code,67,0.938,0.638,-4.713,1,8,0.189,0.0167,0,0.111,0.313,97.075,4,158332,1
This Is for Rachel,Gxrrixon,0,This Is for Rachel,0,0.9,0.461,-14.453,1,8,0.515,0.161,0.00000178,0.089,0.35,96.985,4,165698,1
Hokus Pokus,Insane Clown Posse,63,The Great Milenko,62,0.87,0.841,-5.084,0,11,0.0948,0.0193,0.0000771,0.333,0.857,92.176,4,261173,1
恋愛サーキュレーション,物語シリーズ,53,Utamonogatari Special Edition (Original Soundtrack),65,0.814,0.785,-5.679,0,1,0.0396,0.0524,0.00111,0.111,0.941,120.009,4,255040,1
WTF,Young Spool,3,WTF,0,0.819,0.791,-5.736,1,8,0.324,0.372,0.0000622,0.471,0.902,172.094,4,89293,1
223's (feat. 9lokknine),YNW Melly,73,Melly vs. Melvin,66,0.932,0.547,-7.787,0,0,0.333,0.0388,0,0.0924,0.695,94.998,4,176640,1
cheatercheaterbestfriendeater,Never Shout Never,49,Harmony,49,0.768,0.683,-7.173,1,7,0.0604,0.388,0,0.286,0.669,99.955,4,178144,1
Myself,Bazzi,72,COSMIC,67,0.745,0.561,-5.513,0,9,0.072,0.465,0.00000112,0.0338,0.902,195.918,4,167553,1
Obsessed,Mariah Carey,76,Memoirs of an imperfect Angel (International Version),68,0.742,0.468,-5.557,0,10,0.0625,0.0465,0,0.826,0.369,86.443,4,242200,1
GOODMORNINGTOKYO!,TOKYO’S REVENGE,59,GOODMORNINGTOKYO!,70,0.907,0.539,-7.782,1,4,0.36,0.0408,0,0.253,0.664,124.918,4,150115,1
Walked In,Ultradiox,29,Orichalcos,42,0.891,0.538,-6.724,1,2,0.394,0.123,0,0.0848,0.643,80.032,4,107404,1
Psycho!,MASN,60,Psycho!,0,0.868,0.365,-9.51,1,7,0.0383,0.433,0,0.207,0.471,114.979,4,197217,1
You Need To Calm Down,Taylor Swift,93,Lover,76,0.771,0.671,-5.617,1,2,0.0553,0.00929,0,0.0637,0.714,85.026,4,171360,1
Moskau,Dschinghis Khan,49,7 Leben,59,0.676,0.724,-5.941,0,5,0.039,0.0681,0.0000929,0.139,0.676,132.056,4,221373,1
Big Fun,Jon Eidson,44,Heathers: The Musical (World Premiere Cast Recording),54,0.864,0.681,-6.032,1,8,0.232,0.538,0,0.555,0.734,118.061,4,254667,1
Eenie Meenie,Sean Kingston,69,Eenie Meenie,74,0.72,0.607,-4.168,1,1,0.0322,0.0543,0,0.113,0.828,121.223,4,201947,1
Stereo Love,Edward Maya,64,The Stereo Love Show,18,0.771,0.728,-6.809,1,9,0.0359,0.0174,0.0299,0.0779,0.297,127.019,4,320637,1
Never Ever Getting Rid of Me,Christopher Fitzgerald,48,Waitress (Original Broadway Cast Recording),63,0.622,0.542,-6.215,0,7,0.051,0.387,0,0.114,0.939,174.494,4,136200,1
Wanna Be Like You,Jacob,4,Wanna Be Like You,17,0.816,0.363,-10.362,1,5,0.101,0.487,0.00000341,0.205,0.595,104.274,4,229415,1
Skinny Legend Anthem,Ava Louise,32,Skinny Legend Anthem,50,0.845,0.518,-7.568,1,11,0.299,0.0703,0,0.122,0.443,129.951,4,135993,1
Material Girl,Madonna,77,Celebration (double disc version),78,0.742,0.883,-3.419,1,0,0.0329,0.333,0.00000751,0.0964,0.978,136.506,4,240280,1
I Wish - Radio Edit,Skee-Lo,51,I Wish,63,0.715,0.738,-10.139,1,7,0.157,0.00826,0,0.26,0.573,97.877,4,252307,1
Oh No I Got a Disease,Buss Crew,11,Oh No I Got a Disease,26,0.649,0.735,-4.365,0,10,0.73,0.146,0,0.124,0.845,86.704,5,134769,1
Woahh,Jufu,31,Woahh,22,0.749,0.283,-12.368,0,0,0.328,0.618,0.00000373,0.0825,0.269,142.046,4,172888,1
Say So,Doja Cat,88,Hot Pink,80,0.787,0.673,-4.583,0,11,0.159,0.264,3.35E-06,0.0904,0.779,110.962,4,237893,1
Blinding Lights,The Weeknd,93,After Hours,90,0.514,0.73,-5.934,1,1,0.0598,0.00146,9.54E-05,0.0897,0.334,171.005,4,200040,1
Supalonely (feat. Gus Dapperton),BENEE,67,Hey u x,63,0.862,0.631,-4.746,1,7,0.0515,0.291,0.000209,0.123,0.841,128.978,4,223488,1
Savage,Megan Thee Stallion,82,Suga,70,0.843,0.741,-5.609,1,11,0.334,0.0252,0,0.096,0.68,168.983,4,155497,1
Moral of the Story,Ashe,68,Moral of the Story,76,0.572,0.406,-8.624,1,10,0.0427,0.587,4.48E-06,0.102,0.265,119.812,4,201084,1
Rain On Me (with Ariana Grande),Lady Gaga,84,Rain On Me (with Ariana Grande),74,0.672,0.855,-3.764,1,9,0.0397,0.021,0,0.323,0.646,123.056,4,182200,1
Babylon,Lady Gaga,84,Chromatica,64,0.698,0.799,-4.372,1,2,0.0342,0.0129,5.46E-06,0.215,0.351,115.957,4,161733,1
Replay,Lady Gaga,84,Chromatica,66,0.658,0.878,-3.875,1,1,0.123,0.00792,0,0.944,0.683,122.015,4,186653,1
My Oh My (feat. DaBaby),Camila Cabello,82,Romance,75,0.724,0.491,-6.024,1,8,0.0296,0.018,1.29E-05,0.0887,0.383,105.046,4,170746,1
Physical,Dua Lipa,88,Future Nostalgia,75,0.647,0.844,-3.756,1,0,0.0457,0.0137,0.000658,0.102,0.746,146.967,4,193829,1
Glitter,BENEE,67,FIRE ON MARZZ,66,0.801,0.589,-5.157,1,7,0.0485,0.0863,0,0.162,0.58,116.934,4,180147,1
Put Your Records On,Ritt Momney,60,Put Your Records On,77,0.399,0.491,-10.778,0,6,0.0538,0.0563,0.00089,0.11,0.151,91.066,4,210463,1
Stuck with U (with Justin Bieber),Ariana Grande,87,Stuck with U,82,0.597,0.45,-6.658,1,8,0.0418,0.223,0,0.382,0.537,178.765,3,228482,1
Break My Heart,Dua Lipa,88,Future Nostalgia,78,0.73,0.729,-3.434,0,4,0.0884,0.167,1.39E-06,0.349,0.467,113.011,4,221820,1
Selfish,Madison Beer,71,Life Support,66,0.375,0.461,-6.202,1,9,0.0279,0.627,0,0.386,0.233,75.217,4,223270,1
LEMONS - Demo,Brye,48,LEMONS (Demo),57,0.501,0.168,-13.682,0,4,0.304,0.901,0,0.134,0.514,82.574,4,193208,1
The Less I Know The Better,Tame Impala,78,Currents,84,0.64,0.74,-4.083,1,4,0.0284,0.0115,0.00678,0.167,0.785,116.879,4,216320,1
Buttercup,Jack Stauber,62,Pop Food,72,0.705,0.373,-9.066,1,7,0.0384,0.723,0.81,0.289,0.551,120.046,4,208026,1
Dissolve,Absofacto,56,Thousand Peaces,68,0.688,0.582,-10.668,0,6,0.0542,0.23,0.000157,0.0663,0.872,85.486,4,224661,1
Sunday Best,Surfaces,71,Where the Light Is,77,0.878,0.525,-6.832,1,5,0.0578,0.183,0,0.0714,0.694,112.022,4,158571,1
Airplane Mode,Limbo,50,Holo,0,0.665,0.373,-10.631,1,7,0.158,0.852,0.118,0.108,0.07,119.905,4,164113,1
Chinese New Year,SALES,61,Chinese New Year,66,0.744,0.845,-7.422,0,4,0.253,0.759,0.232,0.1,0.749,75.221,4,160000,1
LMK,Lil Xxel,51,LMK,65,0.748,0.457,-7.56,1,6,0.0465,0.0292,0.000294,0.444,0.464,123.035,4,188293,1
Why Is Everything Chrome (Lean Swag Rock Wit It),King Critical,29,Why Is Everything Chrome (Lean Swag Rock Wit It),46,0.915,0.392,-11.548,1,7,0.475,0.112,0,0.0319,0.675,139.94,4,151018,1
Figure It Out,Blu DeTiger,51,Figure It Out,54,0.747,0.554,-6.154,0,8,0.289,0.493,0.000425,0.332,0.585,96.988,4,164318,1
They Call Me Tiago (Her Name Is Margo),Tiagz,47,They Call Me Tiago (Her Name Is Margo),57,0.878,0.578,-7.581,1,0,0.0722,0.196,0.433,0.0965,0.148,100.996,4,154455,1
My Heart Went Oops,Tiagz,47,My Heart Went Oops,51,0.96,0.412,-11.281,1,1,0.607,0.119,0,0.0903,0.49,121.027,4,128926,1
Muffins In The Freezer,Tiagz,47,Muffins In The Freezer,47,0.965,0.412,-8.696,1,0,0.434,0.0778,1.12E-06,0.0867,0.486,120.03,4,106016,1
Beggin',Madcon,61,Conquest,61,0.715,0.796,-4.889,0,4,0.0534,0.0284,0,0.0658,0.431,129.04,4,218707,1
Kolors,monte booker,47,Soulection White Label - Monte Booker,56,0.718,0.403,-11.064,0,2,0.205,0.263,1.56E-06,0.228,0.636,129.582,4,177856,1
Play Date,Melanie Martinez,78,Cry Baby (Deluxe Edition),78,0.68,0.729,-5.077,1,5,0.0475,0.612,0,0.224,0.446,123.97,4,179867,1
Ride It,Regard,71,Ride It,81,0.88,0.751,-4.258,0,7,0.0874,0.177,6.43E-05,0.106,0.884,117.948,4,157606,1
No Idea,Don Toliver,78,No Idea,2,0.651,0.631,-5.717,0,6,0.0896,0.519,0.000579,0.165,0.35,127.994,4,154424,1
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,83,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),54,0.92,0.833,-3.18,1,1,0.253,0.0277,0,0.0596,0.645,141.034,4,165726,1
Cannibal,Kesha,76,Cannibal (Expanded Edition),66,0.71,0.68,-4.676,1,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,4,194253,1
Lottery (Renegade),K CAMP,63,Wayy 2 Kritical,56,0.915,0.556,-8.601,1,1,0.216,0.0145,0.000179,0.0733,0.67,148.964,4,170947,1
Bad Boy,Yung Bae,57,Bad Boy,62,0.861,0.82,-4.807,0,1,0.0728,0.032,4.76E-06,0.0706,0.781,118.04,4,187571,1
Hard Times,Paramore,75,After Laughter,73,0.695,0.818,-5.379,0,5,0.0334,0.00647,4.87E-06,0.0219,0.916,119.965,4,182693,1
death bed (coffee for your head),Powfu,71,death bed (coffee for your head),82,0.726,0.431,-8.765,0,8,0.135,0.731,0,0.696,0.348,144.026,4,173333,1
Backyard Boy,Claire Rosinkranz,63,Backyard Boy (Stripped),70,0.817,0.635,-7.246,1,5,0.163,0.323,0,0.0738,0.454,138.015,4,129241,1
cardigan,Taylor Swift,93,folklore,79,0.613,0.581,-8.588,0,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4,239560,1
Beef FloMix,Flo Milli,67,"Ho, why is you here ?",62,0.879,0.733,-3.953,0,11,0.142,0.216,0,0.274,0.913,117.039,4,147692,1
Psycho!,MASN,60,How To Kill A Rockstar,68,0.876,0.312,-10.17,1,7,0.0521,0.443,0,0.247,0.377,114.973,4,197217,1
Party Girl,StaySolidRocky,59,Party Girl,71,0.728,0.431,-9.966,0,6,0.0622,0.749,0,0.0996,0.629,130.022,4,147800,1
Electric Love,BÃ˜RNS,67,Dopamine,82,0.611,0.797,-7.627,0,6,0.0533,0.00543,0.00137,0.26,0.518,120.041,4,218107,1
Producer Man,Lyn Lapid,61,Producer Man,62,0.66,0.639,-5.364,0,10,0.223,0.129,0,0.256,0.75,173.994,4,141673,1
ily (i love you baby) (feat. Emilee),Surf Mesa,64,ily (i love you baby) (feat. Emilee),78,0.674,0.774,-7.567,0,11,0.0892,0.0686,0.00188,0.393,0.33,112.05,4,176547,1
Mariposa,Peach Tree Rascals,60,Mariposa,74,0.676,0.525,-5.88,1,9,0.028,0.617,0,0.356,0.421,112.011,4,210000,1
FML,Arizona Zervas,66,Living Facts,0,0.816,0.59,-5.961,0,2,0.121,0.0854,0,0.108,0.612,100.137,4,222961,1
Savage Love (Laxed - Siren Beat),Jawsh 685,63,Savage Love (Laxed - Siren Beat),77,0.767,0.481,-8.52,0,0,0.0803,0.234,0,0.269,0.761,150.076,4,171375,1
Stunnin',Curtis Waters,53,Stunnin',2,0.906,0.604,-8.332,0,11,0.0746,0.329,0,0.255,0.899,99.996,4,144013,1
Deep End,FousheÃ©,65,Deep End,68,0.711,0.592,-7.136,0,4,0.23,0.758,0,0.156,0.535,124.749,4,141224,1
Freak,Doja Cat,88,Freak,72,0.688,0.716,-5.702,1,7,0.0385,0.0969,0,0.0989,0.373,116.912,3,284480,1
Funny Thing,Thundercat,69,It Is What It Is,72,0.586,0.893,-8.772,1,7,0.439,0.827,0.642,0.212,0.65,140.023,3,116630,1
Money Trees,Kendrick Lamar,88,"good kid, m.A.A.d city",79,0.716,0.531,-7.355,1,7,0.122,0.0703,0,0.224,0.344,71.994,4,386907,1
Wait a Minute!,WILLOW,76,ARDIPITHECUS,86,0.764,0.705,-5.279,0,3,0.0278,0.0371,1.94E-05,0.0943,0.672,101.003,4,196520,1
Eyes Blue Like The Atlantic,Sista Prod,56,Eyes Blue Like The Atlantic,0,0.736,0.279,-16.926,0,9,0.903,0.65,0.000312,0.246,0.476,76.431,4,154550,1
Mood (feat. iann dior),24kGoldn,74,El Dorado,83,0.701,0.716,-3.671,0,7,0.0361,0.174,0,0.324,0.732,91.007,4,140533,1
Mad at Disney,salem ilese,66,Mad at Disney,72,0.738,0.621,-7.313,1,0,0.0486,0.424,7.39E-06,0.692,0.715,113.968,4,136839,1
Boss Bitch,Doja Cat,88,Boss Bitch,78,0.707,0.955,-4.593,0,10,0.222,0.127,0,0.202,0.575,125.989,4,134240,1
Falling,Trevor Daniel,66,Falling,15,0.785,0.431,-8.756,0,10,0.0364,0.123,0,0.0887,0.236,127.085,4,159382,1
Moon (And It Went Like),Kid Francescoli,56,Play Me Again,66,0.662,0.657,-10.002,1,7,0.0345,0.288,0.856,0.102,0.0584,117.986,4,390639,1
Just Fine,Mary J. Blige,70,Growing Pains,62,0.923,0.795,-3.61,0,11,0.117,0.0394,0.000565,0.101,0.588,123.021,4,242133,1
Smile,Lily Allen,67,"Alright, Still (Deluxe)",71,0.632,0.639,-5.938,1,5,0.0259,0.00143,0,0.221,0.733,95.506,4,196893,1
Bulletproof,La Roux,65,La Roux,71,0.674,0.882,-2.771,0,3,0.0477,0.000441,6.47E-05,0.068,0.682,123.016,4,205733,1
Heather,Conan Gray,81,Kid Krow,86,0.357,0.425,-7.301,1,5,0.0333,0.584,0,0.322,0.27,102.078,3,198040,1
Juicy,Doja Cat,88,Hot Pink,73,0.785,0.652,-2.607,1,0,0.0668,0.102,0,0.0697,0.484,170.024,4,203093,1
Blueberry Faygo,Lil Mosey,70,Certified Hitmaker,75,0.774,0.554,-7.909,1,0,0.0383,0.207,0,0.132,0.349,99.034,4,162547,1
American Boy,Estelle,65,Shine,78,0.727,0.729,-2.99,1,0,0.326,0.171,0,0.07,0.512,117.932,4,284733,1
Can't Stop Singing,Ross Lynch,62,Teen Beach Movie,60,0.513,0.69,-4.986,1,0,0.0341,0.51,0,0.102,0.777,96.881,4,145920,1
Like That (feat. Gucci Mane),Doja Cat,88,Hot Pink,46,0.874,0.487,-6.032,1,2,0.194,0.237,0,0.0978,0.371,106.052,4,163173,1
Gimme Love,Joji,85,Nectar,65,0.484,0.632,-6.917,1,5,0.0976,0.695,0.0243,0.209,0.0736,126.384,3,214558,1
Mine,Bazzi,72,COSMIC,24,0.719,0.803,-3.834,1,4,0.0795,0.0148,4.00E-06,0.29,0.712,142.966,4,133995,1
What They Want,Russ,77,There's Really A Wolf,72,0.71,0.404,-10.04,0,1,0.379,0.484,0,0.0953,0.398,139.553,4,165853,1
La La La,Naughty Boy,60,La La La,58,0.754,0.677,-4.399,0,6,0.0316,0.112,0,0.111,0.254,124.988,4,220779,1
ROXANNE,Arizona Zervas,66,ROXANNE,78,0.621,0.601,-5.616,0,6,0.148,0.0522,0,0.46,0.457,116.735,5,163636,1
Homage,Mild High Club,62,Skiptracing,0,0.546,0.468,-8.167,1,5,0.0287,0.153,0.00257,0.321,0.416,73.372,4,177493,1
Opaul,Freddie Dredd,72,Opaul,63,0.822,0.871,-4.095,1,1,0.214,0.00567,0.391,0.101,0.648,145.062,4,140527,1
"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",Jodi Benson,53,The Little Mermaid,60,0.387,0.132,-15.142,1,5,0.0386,0.914,0.000707,0.281,0.323,100,4,195493,1
Relationship (feat. Future),Young Thug,84,Beautiful Thugger Girls,69,0.842,0.597,-6.336,1,2,0.0627,0.00252,0,0.124,0.298,145.992,4,215307,1
Borderline,Tame Impala,78,The Slow Rush,78,0.621,0.873,-3.067,0,5,0.0369,0.0406,9.10E-06,0.0824,0.873,97.96,4,237800,1
Renee,SALES,61,Renee,65,0.924,0.386,-8.183,1,9,0.0548,0.755,0.00253,0.118,0.424,108.957,4,179125,1
Don't Start Now,Dua Lipa,88,Don't Start Now,79,0.794,0.793,-4.521,0,11,0.0842,0.0125,0,0.0952,0.677,123.941,4,183290,1
Freak (feat. REI AMI),Sub Urban,67,Thrill Seeker,69,0.619,0.45,-11.965,0,7,0.515,0.433,0,0.513,0.41,179.755,4,194000,1
Candy,Doja Cat,88,Amala,71,0.689,0.516,-5.857,1,8,0.0444,0.513,0,0.163,0.209,124.876,4,190920,1
Ophelia,The Lumineers,76,Cleopatra,77,0.664,0.573,-6.519,1,5,0.0277,0.613,0.000363,0.0857,0.566,76.023,4,160097,1
Violent Crimes,Kanye West,90,ye,0,0.665,0.417,-6.731,0,1,0.524,0.374,0,0.186,0.04,110.111,4,215320,1
Someone To You,BANNERS,65,Someone To You,0,0.511,0.93,-3.649,1,2,0.0441,0.0056,0,0.242,0.673,75.01,4,219813,1
Plastic Hearts,Miley Cyrus,81,Plastic Hearts,70,0.551,0.756,-4.948,1,2,0.0652,0.0511,0,0.0765,0.618,175.984,4,205733,1
Primadonna,MARINA,73,Electra Heart,50,0.66,0.689,-2.671,0,4,0.0337,0.0884,0,0.0922,0.427,127.98,4,221075,1
Check It Out,will.i.am,72,Pink Friday (Complete Edition),53,0.848,0.694,-4.272,1,1,0.0572,0.0493,1.15E-05,0.105,0.728,130.075,4,251013,1
Hood Baby,KBFR,36,Hood Baby,53,0.974,0.472,-11.848,0,11,0.447,0.0488,0.000157,0.116,0.806,126.065,4,110063,1
Shoota (feat. Lil Uzi Vert),Playboi Carti,82,Die Lit,79,0.673,0.649,-8.433,0,1,0.196,0.188,0,0.122,0.47,153.075,4,153800,1
I Just Want to Be the One You Love,Boxout,44,I Just Want to Be the One You Love,62,0.497,0.349,-8.749,0,9,0.0877,0.967,0.037,0.228,0.251,140.551,1,80842,1
Make You Mine,PUBLIC,61,Make You Mine,77,0.606,0.799,-4.452,1,9,0.0261,0.0128,0,0.15,0.638,103.014,4,232907,1
To Be So Lonely,Harry Styles,91,Fine Line,73,0.758,0.436,-7.269,1,0,0.0418,0.618,1.61E-05,0.335,0.605,104.959,4,192080,1
Hotel Room Service,Pitbull,82,Hotel Room Service,63,0.849,0.599,-8.164,1,6,0.227,0.00301,0.000249,0.0763,0.761,126.003,4,238507,1
M to the B,Millie B,40,M to the B,58,0.897,0.513,-6.973,0,10,0.309,0.571,0,0.101,0.692,139.935,4,137744,1
Say So (feat. Nicki Minaj),Doja Cat,88,Say So (feat. Nicki Minaj),65,0.856,0.641,-4.64,0,11,0.204,0.119,4.97E-06,0.427,0.745,111.004,4,206221,1
What's My Name?,Rihanna,87,Loud,54,0.69,0.786,-2.959,1,2,0.0692,0.229,0,0.0797,0.583,100.049,4,263173,1
Whatcha Say,Jason Derulo,80,Jason Derulo (Deluxe Audio),59,0.615,0.711,-5.507,1,11,0.0779,0.0444,0,0.145,0.711,144.036,4,221253,1
Hey Julie! (feat. Lil Yachty),KYLE,66,Hey Julie! (feat. Lil Yachty),51,0.801,0.505,-5.829,1,11,0.293,0.0446,9.52E-06,0.122,0.757,161.059,4,156443,1
Crush,Tessa Violet,56,Bad Ideas,65,0.91,0.402,-9.55,1,1,0.0857,0.0297,0.00018,0.0801,0.825,135.993,4,216267,1
Mr. Blue Sky,Electric Light Orchestra,70,Out of the Blue,80,0.388,0.338,-10.054,1,10,0.0329,0.652,3.73E-06,0.248,0.478,177.765,4,303373,1
Myron,Lil Uzi Vert,85,Eternal Atake (Deluxe) - LUV vs. The World 2,73,0.771,0.654,-6.976,0,8,0.298,0.055,0,0.214,0.573,155.047,4,224955,1
I'm Looking for Mrs. Bubblegum,Memetown,20,I'm Looking for Mrs. Bubblegum,29,0.977,0.39,-10.025,1,1,0.302,0.214,6.06E-06,0.058,0.962,124.036,4,281313,1
Partition,BeyoncÃ©,89,BEYONCÃ‰ [Platinum Edition],71,0.418,0.441,-11.522,0,11,0.283,0.029,0.0707,0.306,0.172,175.928,4,319467,1
Lets Link,WhoHeem,48,Lets Link,1,0.839,0.683,-9.232,0,10,0.165,0.00667,0,0.241,0.522,120.003,4,159955,1
Are You Bored Yet? (feat. Clairo),Wallows,71,Nothing Happens,79,0.682,0.683,-6.444,0,8,0.0287,0.156,2.32E-05,0.273,0.64,120.023,4,178000,1
Trampoline,SHAED,59,MELT,64,0.689,0.412,-7.523,0,7,0.0301,0.488,0.00016,0.0659,0.537,126.754,4,184060,1
Paper Planes,M.I.A.,67,Kala,77,0.447,0.848,-6.175,1,2,0.222,0.033,7.46E-05,0.65,0.485,172.253,4,205200,1
She Belongs to the Streets (Toxic),Rontae Don't Play,24,She Belongs to the Streets (Toxic),39,0.893,0.296,-15.774,1,1,0.907,0.00348,0,0.176,0.321,130.145,4,147697,1
OUT WEST (feat. Young Thug),JACKBOYS,65,JACKBOYS,77,0.802,0.591,-4.895,1,8,0.225,0.0104,0,0.196,0.309,139.864,4,157712,1
Breathe,Years & Years,70,Take Shelter,62,0.746,0.486,-7.004,1,10,0.0344,0.222,1.41E-06,0.123,0.417,92.057,4,233228,1
Yellow Hearts,Ant Saunders,52,Yellow Hearts,68,0.866,0.438,-8.943,1,7,0.0719,0.177,0,0.0743,0.695,129.039,4,223258,1
Needs,Verzache,61,Needs,68,0.813,0.601,-7.552,0,11,0.116,0.189,0.0002,0.426,0.855,118.981,4,177479,1
"Sofia the First Main Title Theme - From ""Sofia the First""",Cast - Sofia the First,44,Sofia the First,54,0.655,0.789,-3.995,1,4,0.0489,0.423,0,0.13,0.66,92.968,4,52867,1
Mi Pan Su Su Sum,Miel Pops,0,Mi Pan Su Su Sum,0,0.696,0.375,-7.543,1,3,0.493,0.27,0,0.269,0.688,101.073,4,351467,1
Wasabi,Little Mix,77,LM5 (Deluxe),66,0.847,0.656,-4.976,1,2,0.115,0.00451,0.000854,0.143,0.234,114.001,4,154787,1
CITY OF ANGELS,24kGoldn,74,DROPPED OUTTA COLLEGE,72,0.686,0.541,-4.993,0,0,0.0493,0.042,0,0.0675,0.724,120.082,4,112493,1
Rags to Riches,YoungBoy Never Broke Again,84,Until Death Call My Name (Reloaded),47,0.763,0.604,-5.754,1,1,0.114,0.0838,0,0.261,0.18,147.893,4,116757,1
Hatchback,Cochise,68,Hatchback,62,0.734,0.692,-6.227,0,2,0.0555,0.0221,0,0.224,0.348,77.994,4,149145,1
VIBEZ,DaBaby,82,KIRK,71,0.768,0.652,-2.708,0,1,0.307,0.113,0,0.107,0.777,154.187,4,144935,1
Obnimi (Remix),Okean Elzi,46,Obnimi (Remix),64,0.714,0.845,-4.234,0,7,0.0856,0.199,0.00762,0.372,0.51,75.985,4,229671,1
All About Cake (feat. Coi Leray & Kaash Paige),KyleYouMadeThat,37,All About Cake,30,0.905,0.521,-4.318,1,1,0.443,0.213,3.87E-05,0.175,0.533,131.115,4,179871,1
Lose Control,MEDUZA,74,Lose Control,78,0.598,0.526,-8.659,0,10,0.0415,0.129,0,0.14,0.529,123.935,4,168387,1
